team_name,team_id
Chennai Super Kings,1
Delhi Capitals,2
Gujarat Lions,3
Gujarat Titans,4
Kochi Tuskers Kerala,5
Kolkata Knight Riders,6
Lucknow Super Giants,7
Mumbai Indians,8
Punjab Kings,9
Rajasthan Royals,10
Rising Pune Supergiant,11
Royal Challengers Bangalore,12
Royal Challengers Bengaluru,13
Sunrisers Hyderabad,14
